0.0 + 0.0im,-128.3306277810247 + 686.5082231139287im,345.3711032987654 - 891.5055842367693im,-376.4731691072546 + 608.0250449894937im,194.14446680350815 - 212.96633509495302im,-10.607092969640942 + 8.010104790075882im,-20.74079189958126 + 10.32768721428244im,-44.52306276849391 + 12.667903554952108im,79.17816244505869 - 7.336937234902873im,-49.18172397342377 - 4.557357871846499im,5.797211697066107 + 1.6494489394840373im,10.397281986023911 + 5.177231262443575im,-5.242009622296553 - 3.9585819135705163im,-1.017624841809217 - 1.1162812756390825im,1.6192996356423055 + 2.615258707938323im,-0.2555558921774608 - 0.6596657994393066im,-0.1861569662311861 - 0.9958518111959611im,-1.1102230246251565e-16 + 0.9965362192532339im,0.06811135778799349 - 0.36436358192446294im,-0.006171391909953567 + 0.01593019884317754im,-0.009838142168206304 + 0.015889145164372277im,-0.017328929992707114 + 0.01900893068149422im,0.02766191216926504 - 0.020889306410706437im,-0.016106808448893912 + 0.008020237630560045im,0.004120808967599783 - 0.0011724712390377174im,-0.00015885053609417715 + 1.4719669881419953e-5im,-0.00015885053609434642 - 1.4719669881260826e-5im,0.004120808967601386 + 0.0011724712390366622im,-0.01610680844890002 - 0.008020237630553491im,0.02766191216926383 + 0.020889306410704255im,-0.017328929992708353 - 0.019008930681493185im,-0.00983814216820588 - 0.01588914516437151im,-0.006171391909954609 - 0.015930198843177115im,0.06811135778799893 + 0.36436358192446394im,-1.1102230246251565e-16 - 0.9965362192532339im,-0.18615696623118144 + 0.9958518111959618im,-0.2555558921774606 + 0.6596657994393063im,1.619299635642312 - 2.615258707938325im,-1.0176248418092155 + 1.1162812756390832im,-5.242009622296553 + 3.9585819135705167im,10.39728198602391 - 5.177231262443576im,5.797211697066109 - 1.6494489394840377im,-49.18172397342377 + 4.557357871846506im,79.17816244505869 + 7.3369372349028765im,-44.523062768493915 - 12.667903554952106im,-20.740791899581257 - 10.327687214282442im,-10.60709296964093 - 8.010104790075887im,194.14446680350818 + 212.96633509495302im,-376.47316910725465 - 608.0250449894937im,345.37110329876526 + 891.5055842367692im,-128.33062778102465 - 686.5082231139287im
0.0 - 0.0im,-160.8705749116877 - 639.6187577239408im,55.58139442258903 + 901.1559165215881im,82.99241291073773 - 670.2296229711307im,-82.50095107150193 + 259.3367239172158im,5.938372209106351 - 11.058654794244045im,13.717472690364447 - 17.046754971136746im,33.19696329496816 - 28.441416900564256im,-65.03226942953025 + 37.54639826115154im,43.99257860805853 - 15.50238657370138im,-5.6245626211713216 + 0.8730936192428742im,-10.963464262399912 - 0.3377807266789603im,6.059669711008832 + 1.3270881475870864im,1.3136368102531908 + 0.5560147716527825im,-2.4214751968020156 - 1.6045276564933206im,0.47961803035549466 + 0.46506873796044657im,0.552773513852494 + 0.7808800099842323im,-0.39333667287426316 - 0.8549440438807638im,0.08538190356292685 + 0.33947704307643556im,-0.0009931768020173494 - 0.016102639391973563im,0.0021687897680320927 - 0.0175146992062402im,0.007363862740919376 - 0.02314785482837231im,-0.015486498604925698 + 0.028839526390892864im,0.010652664859488641 - 0.013238106737899512im,-0.0030725277089375344 + 0.0026323805804767597im,0.0001304704547726698 - 7.532715218465617e-5im,0.0001420902752379995 - 5.007068111956983e-5im,-0.00399808551064252 + 0.0006206176699664111im,0.016983902047486857 + 0.0005232684339648748im,-0.031976677533684515 - 0.007003000456788134im,0.02236965862611391 + 0.009468264390785262im,0.014711803003322936 + 0.009748394213118494im,0.011582244522652439 + 0.011230895216566094im,-0.202249506639337 - 0.28570941408377615im,0.39333667287426244 + 0.8549440438807626im,-0.2333595549187725 - 0.9278337489754914im,-0.04112721853236304 - 0.6668065221381655im,-0.35696988528058626 + 2.882815226507257im,0.43243579724688835 - 1.3593356380260613im,2.9347347430638813 - 5.46517080664802im,-6.8765181381613845 + 8.545474986668282im,-4.322474959131694 + 3.7032698220788203im,40.39496529952729 - 23.322044089587678im,-70.8241040368595 + 24.957451330536927im,43.19710366182957 - 6.705430824959347im,21.87022830299236 + 0.6738145381797587im,12.261610455004952 + 2.6853341322555266im,-250.61821176323195 - 106.07759062316777im,562.97205358974 + 373.0388116345553im,-648.1799613167661 - 628.5173148253105im,381.06428939821507 + 538.3135744621045im
0.0 + 0.0im,346.7482298254664 + 430.9053310280798im,-358.2041186570508 - 667.0608635865337im,171.6913434331762 + 539.7012998349046im,-28.04575671154251 - 226.4917513235136im,-0.6480141554070755 + 10.506425687972879im,-4.475635193157596 + 17.795051853606743im,-15.322129898325207 + 33.30369273837827im,36.384402997575414 - 51.39872346271413im,-28.08192539250382 + 27.23005553421549im,3.9790293023232173 - 2.6366004367943656im,8.470869945401313 - 3.5854117223503534im,-5.081688740269306 + 1.1129070095497626im,-1.19567545904706 + 0.03683836748702046im,2.4071871621590555 + 0.3736645661466117im,-0.5284041909109255 - 0.1862024526374222im,-0.69483085682281 - 0.40116078222789875im,0.599324280868093 + 0.5134696080283957im,-0.18403629088680265 - 0.228702591749853im,0.006400703414031034 + 0.011919624941590455im,0.004486704456923917 + 0.0141036826840352im,0.002503305722015337 + 0.020216181111064616im,0.0016899362249968835 - 0.027399385055404197im,-0.0034756724377925895 + 0.013819216398867105im,0.0014181317807376067 - 0.0030824059971820486im,-7.299590875979927e-5 + 0.00010311826549721515im,-9.070094626125811e-5 + 8.794951803319717e-5im,0.002828397596669169 - 0.0018741642175010569im,-0.01312253334952759 + 0.005554291967840932im,0.026815904153806216 - 0.00587277364386647im,-0.020360918358663292 + 0.0006273131953950517im,-0.014624995279152887 - 0.0022702192009773836im,-0.01276037629650361 - 0.00449658311545369im,0.25422563575956303 + 0.14677723924069422im,-0.5993242808680918 - 0.513469608028395im,0.5029944887395515 + 0.6250731453905649im,0.2650516278018063 + 0.4935888744086891im,-0.73848484481261 - 2.321382212312096im,0.14700423456254433 + 1.1871759025970747im,-0.32024763502599374 + 5.1922600009191635im,2.2436193080347913 - 8.920593436049202im,1.995047625820419 - 4.336371873209138im,-22.600267673631027 + 31.92645234326607im,45.2093800473359 - 43.83794601509153im,-30.55927239549848 + 20.249308266980005im,-16.89793072671807 + 7.15228061598684im,-10.282687136159689 + 2.251943236931275im,228.1133134034195 - 7.028096131147912im,-559.6502090317875 - 86.87378191405656im,714.1120357180858 + 251.6433722438526im,-478.994054656877 - 276.5473463963782im
0.0 - 0.0im,-363.1546995619423 - 180.82955393560377im,443.185682441382 + 334.6782919672043im,-279.85988250623166 - 306.9916670753109im,88.12294186750232 + 142.32343787115883im,-2.789120250482555 - 7.199549280942813im,-2.473059534346547 - 13.229700001750077im,1.5987211554602254e-14 - 26.88895807930871im,-8.48737725695155 + 45.40345808570044im,10.36438327518313 - 26.75355719903091im,-1.8431068655350948 + 2.9767197951845485im,-4.545342261438961 + 4.986002944655489im,3.0449706254574327 - 2.2994550780714635im,0.7854372952329587 - 0.3911013017666797im,-1.718566921185818 + 0.4889744473221306im,0.40918223391089337 - 0.03791631777164273im,0.5859786484457313 + 0.0542989181849598im,-0.556768598133921 - 0.1584143242853759im,0.19274400898637467 + 0.09597511256444899im,-0.007919228068307272 - 0.0059803234368936324im,-0.007313406471443814 - 0.008022424738272105im,-0.007865669908166234 - 0.012703493083254075im,0.007273661088778414 + 0.01877548357855643im,-0.0019205195440570202 - 0.010273872125812654im,-1.3191487832631132e-15 + 0.0024886935599829686im,1.7027730698557807e-5 - 9.109031372686282e-5im,3.347560245013329e-5 - 8.641049072997653e-5im,-0.0013101283335192316 + 0.002115929910277673im,0.007041355350181767 - 0.0077239988742394405im,-0.01606820972649825 + 0.012134148731095739im,0.013375054679830743 - 0.006659985880769744im,0.01044124590906631 - 0.002970790595817502im,0.009881298007015725 - 0.0009156371029347583im,-0.21439864533914005 - 0.01986696022647485im,0.5567685981339218 + 0.15841432428538482im,-0.52679378502225 - 0.26231213660880665im,-0.3279333777342928 - 0.2476437915019198im,1.2037431693947178 + 1.320443355416523im,-0.46190394325499856 - 0.7460004827022174im,-1.3783790933687494 - 3.5580065824744107im,1.239735564163548 + 6.631999500051576im,-5.773159728050814e-15 + 3.5011289117691913im,5.27195671911878 - 28.202477476783002im,-16.68572706090463 + 43.0708264523769im,14.155212359209019 - 22.86145292094353im,9.06717717992078 - 9.94621956245951im,6.161432130279576 - 4.652897562200842im,-149.84727045331022 + 74.6150748075836im,399.55195499385565 - 113.68233262327185im,-552.9894786300806 + 51.24202142334224im,403.9548416787705 + 37.431928547076765im
0.0 + 0.0im,250.68862707129023 + 7.723634117429441im,-335.3913375541634 - 73.45183650239038im,236.50658510269892 + 100.10465136471826im,-86.26939937653732 - 57.16417718898441im,3.4268241753451125 + 3.3228708963648277im,4.807479985223409 + 6.791325786752555im,6.948007950188901 + 15.101968424258933im,-6.965219100489392 - 27.69359648758498im,1.0919478199700556 + 17.704040150870206im,0.2659927864189982 - 2.1481029253407993im,1.2644903201635487 - 3.974848444741394im,-1.1160126765195508 + 2.0782797879702652im,-0.3400754410367423 + 0.42261303127118355im,0.838870177295863 - 0.7186999674014845im,-0.22001649455964647 + 0.12702658236016945im,-0.3431408660067503 + 0.12091817580106456im,0.3536383129889056 - 0.054894820341802486im,-0.13305274872470635 - 0.004099311410628435im,0.005993064756954208 + 0.0013125014375332466im,0.006180481369960902 + 0.0026159733883835117im,0.007700226573140763 + 0.005102355173487587im,-0.008936709580014598 - 0.008665613014624658im,0.003733375254849647 + 0.00527398298439487im,-0.0006430692698983497 - 0.001397754849766052im,1.3973913437302816e-5 + 5.556004979888432e-5im,3.5268486456055676e-6 + 5.718173422549894e-5im,0.00018907459600824982 - 0.0015269274714530183im,-0.0019588680387578813 + 0.006157582587340024im,0.0058891621462072805 - 0.010967014008040898im,-0.0057910766992354595 + 0.007196592822837739im,-0.005096600952196206 + 0.00436650036839914im,-0.0053131547976157205 + 0.0030675513526498667im,0.1255488353159038 - 0.04424170259000408im,-0.35363831298890464 + 0.05489482034180376im,0.36365001162374266 + 0.011203937208455077im,0.24817140657856765 + 0.05435037682699117im,-1.017270441853722 - 0.4305736471615793im,0.45218844162257815 + 0.2996309280756842im,1.6935314277428808 + 1.6421578713647564im,-2.40997187043485 - 3.4044664063789973im,-0.9046788440764282 - 1.966381074299989im,4.3264641744166505 + 17.201950338628787im,-1.7579380079851727 - 28.501916031998306im,-2.042846482851955 + 16.49760719045951im,-2.5224410211054007 + 7.929139994045928im,-2.2582274868001035 + 4.205354151614178im,64.8802608392143 - 80.62694447836665im,-195.0300655695932 + 167.09153044278497im,297.3413714805904 - 171.6701208655313im,-236.5502814290832 + 83.35710301281972im
0.0 - 0.0im,-108.4896532429876 + 45.919731621225445im,157.53767414743228 - 34.50128309463372im,-120.57429293838813 + 3.714854293565665im,48.03525367643176 + 7.456450627066051im,-2.114638109993018 - 0.7451697191168528im,-3.3847206929008395 - 1.9541694031779984im,-5.9296794992716215 - 5.080238370811364im,8.409029994081216 + 10.449933241327527im,-3.9416358840940395 - 7.340259086481296im,0.308214699146783 + 0.9688541683668781im,0.24076713051149046 + 1.944385726923224im,0.06821182762441541 - 1.1059364861042411im,0.062148310431201406 - 0.24710065923783137im,-0.21686477559533324 + 0.471370357785166im,0.06894695092766147 - 0.09739847221251285im,0.12268554201966943 - 0.11896385578079786im,-0.14012678943882828 + 0.09285137810503043im,0.05758077955433055 - 0.02437185357901208im,-0.002815020476410083 + 0.000616498998727851im,-0.0031508939629663443 + 9.707800627838956e-5im,-0.004287526509747364 - 0.0006655472238684278im,0.005514699817926765 + 0.0019433052373923373im,-0.0026284940381008258 - 0.0015175617404626306im,0.0005488184086219176 + 0.00047019882582720806im,-1.6870547147578075e-5 - 2.096509247339541e-5im,-1.2730968390137155e-5 - 2.3708076837417834e-5im,0.00021908703055219025 + 0.0006886867607969584im,-0.0003729811365266948 - 0.003012118791854064im,-0.0003599515683107672 + 0.005835990421169201im,0.001058311153954439 - 0.004207827727034399im,0.001317573626660217 - 0.002863836001500387im,0.001664992544470236 - 0.0023520652892508043im,-0.04488834888691665 + 0.04352665338809867im,0.14012678943882995 - 0.09285137810502984im,-0.15737556236106587 + 0.06661136220219949im,-0.11656933797811735 + 0.025529079006036653im,0.518618389421896 - 0.015978461940063887im,-0.2517808940350448 - 0.039083624245166024im,-1.0450510193495215 - 0.3682617705939457im,1.6967479187104137 + 0.9796178676143942im,0.7720854140644589 + 0.6614822852661529im,-5.223291110602851 - 6.491003533610674im,6.34568008430763 + 11.817158476435061im,-2.3671142461865804 - 7.440879720425989im,-0.4802890752516598 - 3.8787155901744215im,0.13802515626140888 - 2.23783853366648im,-11.856776776354117 + 47.14234928584631im,50.41918588694308 - 109.58953396430032im,-93.17838187208362 + 131.62920064582468im,84.5754684650758 - 82.0098576200571im
0.0 + 0.0im,16.178510483783537 - 17.746980595196593im,-26.234398608154923 + 19.811298209358043im,22.012256467704603 - 10.96080134161168im,-9.530777150387577 + 2.7117398992211097im,0.4550909582685152 - 0.04217038756493969im,0.7932994772553863 + 0.07351002212438189im,1.530931351734468 + 0.43558752491637903im,-2.447569058423907 - 1.2187445779863586im,1.3553244912207838 + 1.023493546281447im,-0.13962308584023536 - 0.15315922918440678im,-0.21024741180305323 - 0.33956122908736924im,0.08159321927861607 + 0.21061637736327055im,0.009543789551619268 + 0.05105476471318421im,2.7755575615628914e-16 - 0.10576829122813916im,-0.004469767721589479 + 0.02391114536988257im,-0.012584083933148802 + 0.03248326507849565im,0.01803873953739701 - 0.029133564670195018im,-0.008586728944535613 + 0.009419192953988539im,0.0004687791010494822 - 0.0003540055445493878im,0.0005752327824207617 - 0.0002864318913668492im,0.000850697280918746 - 0.0002420442449158194im,-0.0011868177409854572 + 0.00010997485930457513im,0.0006160576117163234 + 5.708614459673224e-5im,-0.00014169455672468525 - 4.031557730388084e-5im,4.910415259093872e-6 + 2.445096268932767e-6im,4.377520847553534e-6 + 3.305750294646481e-6im,-9.924772360932585e-5 - 0.00010886956662529992im,0.0003257019279981832 + 0.0005260266751382435im,-0.0004305647314521353 - 0.0011114156882223714im,0.0001625192843279174 + 0.000869401381687999im,4.639030045522352e-17 + 0.00064260095110684im,-0.00010793994269256947 + 0.0005774276923771378im,0.004604281325364735 - 0.011885020124016819im,-0.018038739537397198 + 0.029133564670195157im,0.023468617600309633 - 0.025743847158627847im,0.019412032674449096 - 0.014659286607155748im,-0.09467989169678193 + 0.04714498422532455im,0.04995638428262841 - 0.014213816810785065im,0.22490527697755 - 0.020840543023812982im,-0.39767808308978525 - 0.03685030120964097im,-0.1993378844089907 - 0.05671651808123657im,1.520313961830389 + 0.757026401947936im,-2.1819508155028036 - 1.64773276985435im,1.0723167860062233 + 1.1762754805042845im,0.4194074779826474 + 0.6773663346953642im,0.1651021125370266 + 0.4261776792852292im,-1.820782922800726 - 9.740328327085024im,-2.842170943040401e-14 + 24.59021351778547im,6.040669210720386 - 32.31472609443454im,-8.675062899255497 + 22.392918644387095im
0.0 - 0.0im,8.314366220041201 - 26.135704727630277im,-17.762284837834994 + 33.07757908428778im,17.60637760106221 - 21.879511748941848im,-8.594058757717718 + 7.362938767150556im,0.4520415713198002 - 0.26098632288638696im,0.8581624673468835 - 0.3024047858248481im,1.7963129095520776 - 0.2788393418521309im,-3.1211857424334637 - 0.0961627057785831im,1.8947464544347368 + 0.41495587751174073im,-0.2179724065272837 - 0.09225980643654101im,-0.38022453942122003 - 0.2519459170940507im,0.1851912012413869 + 0.17957339547654969im,0.034272474710878756 + 0.048415290754247144im,-0.050487459476638685 - 0.10973793126079016im,0.006776226708367281 + 0.02694216584755158im,0.002449185750054702 + 0.03970929934829164im,0.0048091378595926364 - 0.03883760625103877im,-0.004412841908324089 + 0.013871500253099462im,0.00031739198764315024 - 0.0005910590145262695im,0.0004600966552732743 - 0.0005717638461924934im,0.0007670877518050948 - 0.0006572005503801519im,-0.0011788653383632717 + 0.0006806182204423285im,0.0006664286757472976 - 0.00023484040449818394im,-0.000166256809078832 + 2.5807830570925125e-5im,6.2618531817849594e-6 + 1.9292563623434153e-7im,6.119783239242085e-6 + 1.3402532134522344e-6im,-0.00015494046007695345 - 6.558067180923054e-5im,0.0005890196911329655 + 0.0003902986022277749im,-0.000977247871020821 - 0.000947602894981526im,0.0005836191202701322 + 0.0008244543073116062im,0.00030673927981565724 + 0.0006667187129702096im,0.00016363837410172794 + 0.0006506234817420762im,-0.0008961113316816663 - 0.014528891129774167im,-0.0048091378595924075 + 0.03883760625103856im,0.012060855763122214 - 0.03791256683253776im,0.013143127799306311 - 0.024475615224367052im,-0.07572917055945264 + 0.09410892544376681im,0.04504649464294483 - 0.03859347382666239im,0.22339827446771796 - 0.12897905390043485im,-0.4301936592405485 + 0.1515943965576167im,-0.23389240459475288 + 0.036306817044295184im,1.9387327378387298 + 0.05973171776273006im,-3.050371773110271 - 0.6680417281612683im,1.674046014660013 + 0.7085629036217653im,0.7584826551641348 + 0.5025888346032236im,0.37473038591376817 + 0.363362877586511im,-6.538570065713595 - 9.236764299020908im,11.737897947346191 + 25.51312051437369im,-9.157734046085771 - 36.410999819818954im,1.688389917498526 + 27.374314361045233im
0.0 + 0.0im,5.4580752181711425 + 44.07829062106493im,3.7429848328916755 - 60.686007658707965im,-11.093095381235795 + 44.10596462997865im,7.659867541719023 - 16.649243722569643im,-0.4883901301983973 + 0.6899282982782264im,-1.057837937415664 + 1.0257482483632574im,-2.4539885467818534 + 1.6260717835266183im,4.656954368813258 - 1.9711197187554885im,-3.068402795905088 + 0.6719905830957862im,0.3831260520414099 - 0.011803987605635002im,0.7299147427101322 + 0.11330372641825098im,-0.3939973133173502 - 0.1388392963836511im,-0.08319160348559701 - 0.04803069466672585im,0.14855357579339395 + 0.12727291179220335im,-0.028205105314744426 - 0.035050590592630375im,-0.030480705880858668 - 0.05676228979119863im,0.019212301511016196 + 0.06039270175756398im,-0.002896868194652657 - 0.023394510531789595im,-6.688291549623138e-5 + 0.0010843904806603223im,-0.00028988905027375964 + 0.0011525940919630325im,-0.0006837037932078203 + 0.0014860767533073757im,0.0012736576293380032 - 0.001799242831630402im,-0.0008214919232794052 + 0.0007965718297141926im,0.00022712763635670928 - 0.00015050023001253053im,-9.342976336018491e-6 + 3.954542696660177e-6im,-9.910539722976926e-6 + 2.170441695699075e-6im,0.00027233597002729564 - 8.390581631573043e-6im,-0.001130737529352435 - 0.00017552293189868003im,0.0020791108489300607 + 0.0007326503953499665im,-0.0014166531845076118 - 0.0008179050974237674im,-0.000902545252331439 - 0.0007732534318001536im,-0.0006811220718711981 - 0.0008464329637613184im,0.011152321107894955 + 0.020768261898040402im,-0.019212301511016452 - 0.06039270175756421im,0.007917507625772077 + 0.06394015988665779im,-0.002769605850750284 + 0.04490435558094013im,0.047714012001378134 - 0.18971012628692763im,-0.04014985141611329 + 0.08726843617217565im,-0.24136167838466033 + 0.34096154230196896im,0.5302902311577904 - 0.5142037891580317im,0.31952633586423096 - 0.21172582876307217im,-2.892679461748448 + 1.2243662006386349im,4.939853168878913 - 1.081844540029937im,-2.9424395993539036 + 0.09065559592211819im,-1.4560545538090806 - 0.22602147505924286im,-0.7972450325863705 - 0.28093831005516773im,15.87145757224755 + 9.163390301768846im,-34.537422370857286 - 29.58985192688751im,38.11779982144453 + 47.36913338646067im,-21.01241871357977 - 39.13009773777057im
