0.0 + 0.0im,-53.65312835747505 + 15.263370932904312im,102.32136898976728 + 90.99273124834161im,119.26257967517424 - 31.651841303354814im,29.868416478482615 - 97.58126667786622im,-48.547685765245674 - 54.23789006253689im,-43.96498992165897 + 12.753240132814529im,-0.2301865074041669 + 29.273875525428146im,21.11687785022088 + 7.383051029544575im,13.595440158304882 - 10.256445866034962im,1.879490576467405 - 10.248378320168033im,-1.0829508508838686 - 4.05424175287151im,1.0352286113459996 - 1.0748732532864267im,2.652703024461056 - 1.2274563608802893im,2.7678088662775835 - 1.7707685303588807im,2.458198334030847 - 1.7548059539378542im,2.3144420765578317 - 1.4827843867202164im,2.3055792690230703 - 1.2425074530048126im,2.3141528458269054 - 1.0644852446079018im,2.3103282189132073 - 0.9089554668721647im,2.302343464451165 - 0.7586827559970637im,2.2959639042933255 - 0.6127083936302031im,2.2915401080322724 - 0.4714993099901499im,2.288451209825939 - 0.3341693905795067im,2.2864383024282953 - 0.19948493859050842im,2.2854412273481435 - 0.06632786438026628im,2.2854412273481444 + 0.06632786438026672im,2.2864383024282953 + 0.19948493859050664im,2.2884512098259364 + 0.3341693905795049im,2.291540108032269 + 0.4714993099901541im,2.295963904293327 + 0.6127083936302im,2.3023434644511696 + 0.7586827559970626im,2.31032821891322 + 0.9089554668721647im,2.314152845826907 + 1.0644852446079032im,2.3055792690230703 + 1.2425074530048126im,2.31444207655783 + 1.4827843867202142im,2.4581983340308455 + 1.754805953937847im,2.767808866277581 + 1.770768530358889im,2.6527030244610557 + 1.2274563608802853im,1.0352286113459996 + 1.074873253286426im,-1.0829508508838677 + 4.054241752871514im,1.879490576467405 + 10.248378320168033im,13.595440158304882 + 10.25644586603496im,21.11687785022088 - 7.383051029544575im,-0.23018650740416735 - 29.273875525428146im,-43.96498992165897 - 12.753240132814533im,-48.547685765245674 + 54.23789006253689im,29.86841647848262 + 97.58126667786622im,119.26257967517422 + 31.651841303354807im,102.32136898976728 - 90.99273124834161im,-53.653128357475055 - 15.26337093290431im
-207.51068834070296 + 32.6116884351884im,152.48788443475974 + 34.422879442621614im,151.21932789669916 - 24.16925108973142im,40.54270077846445 - 111.52777651826415im,-59.01791089423553 - 64.47801457144587im,-57.83366019030137 + 21.68907068667381im,0.5875070689865141 + 46.41065916626245im,32.587850610665676 + 15.4684935496057im,21.851261078940027 - 12.57012039375843im,2.523296176386647 - 13.666255513169983im,-3.1540386979984323 - 3.4711205192799923im,0.4263746841697209 + 1.8067043230376196im,3.4869260932977397 + 1.287299508548319im,3.6682730602582296 - 0.1491006103065171im,2.904993801382414 - 0.4486272227407895im,2.4786623473182274 - 0.13702663661364767im,2.3742460022657 + 0.14137513854984007im,2.3229572034599077 + 0.28885670569094235im,2.243198184400652 + 0.39418965951358487im,2.153127532821548 + 0.5005183609591894im,2.0684256057609027 + 0.6082350057381778im,1.9900298295370593 + 0.7128768393490786im,1.915640559900343 + 0.8140947295921086im,1.8439652252216119 + 0.9129927418349673im,1.7743509540859588 + 1.010535257034245im,1.7062540865446936 + 1.107490696609929im,1.6391434327491778 + 1.2045828107230268im,1.5725059714054517 + 1.3025467320936164im,1.5058451969586422 + 1.4021583569208502im,1.4387076294478582 + 1.5042567074541537im,1.3707247497925081 + 1.6096338672498245im,1.3012279393182666 + 1.7187148884561623im,1.227734461126655 + 1.8323105726153202im,1.1463585221570867 + 1.956718192566747im,1.0658755045188566 + 2.107644980122992im,1.0305425624643783 + 2.277781572117356im,1.0607468998754492 + 2.353762136148669im,0.9150385947266434 + 2.1866718966063727im,0.06844071295222942 + 2.161526701206526im,-1.128302626277563 + 3.629501053666351im,0.1273473145235371 + 6.912584765755954im,6.305505584604868 + 7.209370109578115im,10.80912817221877 - 2.7199501073421137im,-1.945355390952883 - 16.563641617328145im,-31.041938001278186 - 7.061503769545033im,-36.705956168357474 + 38.681626812038814im,18.020236325180374 + 72.59328053315582im,87.5306970812409 + 24.909398469066957im,66.47311287361887 - 77.82547469996425im,-49.65075279411036 - 93.52688769496794im,-191.96892047728005 + 90.51222672114773im
17.888257536489952 - 7.26786741283472im,198.810670872849 - 54.28635426114616im,48.525242630460305 - 105.99943749802019im,-66.83235203042499 - 68.07873639537465im,-70.29561577735913 + 29.619478138643718im,-0.6933884572632636 + 62.234036063759625im,42.318924767581755 + 23.658371266409574im,29.318282028947607 - 15.677669255968784im,1.4554966138567855 - 18.73559809695582im,-7.775471893332849 - 3.703116845571612im,-2.1447761380317694 + 4.837629986447091im,3.293180118496064 + 3.859383887441064im,3.8262752850493698 + 0.9812453626287123im,2.472677577481429 + 0.10838588029752927im,1.6907829322113557 + 0.48943024798712287im,1.5669178019904564 + 0.8587028614553063im,1.5641462705019293 + 0.9630964533672071im,1.4898976518883345 + 0.980121536307171im,1.3808534768198508 + 1.0107614783464818im,1.277492080838099 + 1.0563076703930525im,1.184708357527105 + 1.1029707921318381im,1.0977009710912542 + 1.147249574053043im,1.0139138362708051 + 1.1901228004833715im,0.9325344673579682 + 1.2324583265469489im,0.8529988610499826 + 1.2746353577642278im,0.7746928891377898 + 1.316932366980506im,0.6970042077232694 + 1.3596499227208398im,0.6193401816723263 + 1.403114496469538im,0.5411212004429089 + 1.4476798188734072im,0.4617779409431968 + 1.4937039797536427im,0.38064274205791904 + 1.5414610563402888im,0.29648901014935447 + 1.5913168007585057im,0.2074780170131234 + 1.6452637774292551im,0.11542770429063864 + 1.7086525752139181im,0.034653910352137274 + 1.7802858974194362im,-0.02536353892301657 + 1.8205644267102692im,-0.15216435016765006 + 1.766191907918782im,-0.5697625069026465 + 1.7533400800778376im,-1.182417832839218 + 2.367121041359197im,-0.7501818295509658 + 3.8701090491609813im,2.1209693523631716 + 4.102378630805342im,4.498839106648109 - 0.9090572169303577im,-2.2374081336016873 - 8.718844629323332im,-19.300641669272594 - 4.021375082583923im,-24.086645583505224 + 23.533159616260154im,10.050342905868687 + 46.70156683136955im,58.72091764838433 + 15.761246216242245im,46.07551352945205 - 60.26621188030699im,-49.40314592271055 - 83.78162962133999im,-120.37867695053822 + 17.803417405130254im,-121.7678271627934 + 159.98597266496978im
92.61603280692752 - 113.32414695643573im,86.5429349504845 - 113.59032854379927im,-65.44291847825325 - 59.723029547980445im,-75.73412321730677 + 33.51435736353063im,-2.0915462385520884 + 71.55682284970689im,49.21800028233832 + 29.308139404348772im,35.65211155247016 - 19.316430808650317im,0.11726445342505354 - 24.916593921307495im,-13.154035393597622 - 5.0525963007903565im,-5.335655901050222 + 7.49952191702755im,3.2125748130832985 + 6.196202061431859im,4.389825082797774 + 1.4386447106441054im,2.246078123547413 - 0.2427303839002164im,0.9367353791270148 + 0.3185308360720498im,0.822419477252808 + 0.9384292904511504im,0.9604596245470454 + 1.0618882948674297im,0.9487589554500229 + 1.0019867503534101im,0.8486535200857277 + 0.9725703342332332im,0.750687120079326 + 0.9823580994815705im,0.6703847070759479 + 0.9993300779501905im,0.5981954115031535 + 1.0133217124817293im,0.5288797557777424 + 1.0257608866893695im,0.4615865578885969 + 1.038209594155659im,0.39610646441298847 + 1.0509543841671936im,0.33198949171781433 + 1.0639831052587403im,0.26871225640347873 + 1.077340576558137im,0.20577702775571272 + 1.091117181695778im,0.1427067024187627 + 1.1054206236144424im,0.07902800455725867 + 1.1203671587743367im,0.014236079870551421 + 1.1360610565913944im,-0.05233444441222801 + 1.1526300984377293im,-0.12157420803804797 + 1.1706316723329016im,-0.19346838349937912 + 1.191663904994499im,-0.26416884000256324 + 1.215724281494687im,-0.3302783305751491 + 1.2305897428914028im,-0.4200584903405432 + 1.2129151667579545im,-0.6175227130418803 + 1.2047188592989786im,-0.9060523815977725 + 1.4291324430438308im,-0.802017561145053 + 2.0349724802335554im,0.36729482303910044 + 2.167084944875861im,1.4688976403172083 - 0.07652064275181181im,-1.6838194094753673 - 3.965695087251324im,-10.523483495917077 - 1.9382551531450176im,-13.761223101189838 + 12.794029629914974im,5.190207336034644 + 26.80174998786352im,35.531400207190046 + 9.148433366540225im,29.583965752768826 - 40.45797643266737im,-34.9622927300387 - 60.20799675398942im,-91.656334752334 + 4.165861125607642im,-50.42639039825174 + 102.94846913538618im,13.400004463463175 + 106.31697800885104im
22.58049043569891 - 161.2737426361806im,-23.487729751189672 - 58.02829973401142im,-70.53259318215773 + 37.548600053509276im,-2.5057194392006066 + 72.54261910635582im,51.6896741570946 + 31.589492342093656im,39.456725338409655 - 21.61993130577042im,-0.782785035662766 - 29.87554457802306im,-17.78182837683683 - 6.560625235309279im,-8.306598578830686 + 9.91608159477201im,3.493954319082148 + 8.556755324255688im,5.542617209782428 + 1.7191835135916618im,2.445419893398766 - 0.9971719436746396im,0.386533592685133 - 0.1782774578240538im,0.2585765989422164 + 0.8621803796279943im,0.6094089363887196 + 1.0720961756596346im,0.696459143616373 + 0.9308401710321839im,0.6005612674526049 + 0.840137106990408im,0.4979085869708773 + 0.8310225971170653im,0.42687137905740746 + 0.8398220602762139im,0.3693868760636009 + 0.8427366922460218im,0.3142426075330211 + 0.8421851366835632im,0.2602222781133404 + 0.8417848011774173im,0.2078263007257384 + 0.8421303312912325im,0.15689010471469533 + 0.8429701098828817im,0.10696352939307285 + 0.8441760161638151im,0.057620047786434814 + 0.8457338032358663im,0.008476236879753518 + 0.8476533452671733im,-0.04083843285962807 + 0.8499499177030425im,-0.0907024286972522 + 0.8526419505280831im,-0.14153924157248632 + 0.8557582011776717im,-0.19384931606145983 + 0.8594323104912924im,-0.24795317425656904 + 0.8640831846521948im,-0.3031590300112832 + 0.869801803629926im,-0.3586423280311415 + 0.8732617174092621im,-0.4227073449978705 + 0.8669691423173063im,-0.5232823879094624 + 0.8622167044982147im,-0.6613034430649379 + 0.9340470766729956im,-0.6706601962856513 + 1.14972437741091im,-0.2711581414070151 + 1.2114133973417944im,0.1582327725141894 + 0.32217551068547334im,-1.1709013217965465 - 1.3858266906220473im,-5.243872187529273 - 0.6223963468004036im,-7.11081152190334 + 6.370481892545206im,2.1988759917942935 + 13.862367257847989im,18.92467966749669 + 4.998696774236528im,16.750138888390314 - 23.56603915523401im,-21.78237601260144 - 37.44375005460514im,-60.11055627777311 + 1.7795658257725708im,-35.2904468245672 + 65.74779259245119im,44.06048752906642 + 73.8895851678508im,45.779865404353984 - 10.586342251198047im
-47.10561446713779 - 105.46931728698496im,-29.710863511806636 + 31.196793978577343im,-1.6967491128832584 + 69.16979471284895im,48.653468095535956 + 30.48309649399279im,39.299265623520384 - 21.315691541098865im,-1.1561735559407085 - 31.658132178003008im,-20.513080819022104 - 7.460339757462421im,-10.478691865327706 + 11.735540743864998im,3.8862539158236937 + 10.65216609902044im,6.899575671714245 + 1.9830467262494413im,2.8813631794041914 - 1.86882859499193im,-0.06867213423659013 - 0.7943591046290512im,-0.2532966358565325 + 0.7891477702522671im,0.37213825851605264 + 1.1455475647429196im,0.5976742235984975 + 0.9041576011589765im,0.49734990057718775 + 0.7312124006516818im,0.3717103204790968 + 0.7062857141056824im,0.30123483535037165 + 0.7186471763907177im,0.2552126461907962 + 0.7195927650043201im,0.2110070334572402 + 0.7125790156649882im,0.16620349333014922 + 0.7054322870267208im,0.12262499651247513 + 0.6996829542126052im,0.08064013111243645 + 0.6947459401231469im,0.03983105833616407 + 0.6902607243081387im,-0.00022311643623007527 + 0.6861459313328204im,-0.039853347637733905 + 0.6823726835340156im,-0.0793602901527155 + 0.678910240249425im,-0.11904248657020755 + 0.6757308704533713im,-0.15921055120221705 + 0.6728145809706128im,-0.200201214437552 + 0.6701682011815713im,-0.24233131247032347 + 0.6678701270799046im,-0.28569717319338217 + 0.6659463781210739im,-0.3303219943868356 + 0.663583675544094im,-0.3785744605463659 + 0.6586659662582832im,-0.4388422970736171 + 0.653809991000344im,-0.513486482480805 + 0.6712750121242672im,-0.5524446765641178 + 0.7364271316966554im,-0.4545117958580939 + 0.7580335877424494im,-0.3287877317394007 + 0.4430792795919628im,-0.8483641510522792 - 0.22207034267706616im,-2.53218852414933 + 0.0236688694320501im,-3.4767282159739845 + 2.964796492697795im,0.5516004133743018 + 6.500680852726575im,8.684094907948602 + 2.572173730673515im,8.151475645998076 - 11.98325705687341im,-12.274247144771838 - 20.385356930970868im,-35.135509716246105 + 0.9058331338565502im,-21.96314224194022 + 39.99965263174222im,29.05873811333666 + 44.5221676831254im,56.25141571811896 - 5.3920217418867935im,-16.012064263161108 - 65.44859895611572im
-37.90243263604897 - 29.651108499833533im,23.434203580810752 + 57.18097780651063im,40.872464851887905 + 29.693440139584176im,35.00495106046759 - 18.155663464295078im,-1.0269176560304525 - 29.473300172980075im,-20.598574960573004 - 7.339667106393513im,-11.319400168470406 + 12.464242467014074im,4.1342211843474495 + 11.926155152285052im,7.975098074826433 + 2.197255606660449im,3.3352802407723874 - 2.6381118907109418im,-0.4559754156009208 - 1.4022047995952618im,-0.7440661191092026 + 0.7401271726833185im,0.1803867546601321 + 1.2860013523638im,0.5796905786189175 + 0.9313438867458288im,0.4705325109588898 + 0.6502821159370376im,0.30320259576629915 + 0.6062794969869607im,0.22429268755913512 + 0.6307759089839635im,0.18821655732567333 + 0.6358406755108589im,0.15370339128005917 + 0.6248348664569736im,0.11553200965933741 + 0.6127497724095801im,0.07776460535429164 + 0.6031232647190247im,0.041800586814088714 + 0.5948523662083736im,0.007234109008330436 + 0.5871545178918706im,-0.02643736786954798 + 0.5798698591423835im,-0.05953215760329367 + 0.5729637078343397im,-0.09230375104564792 + 0.5663843378071824im,-0.12499839106101862 + 0.5600752610196595im,-0.15786474362414005 + 0.5539872798237555im,-0.19115952879394094 + 0.5480820232189832im,-0.2251445109043848 + 0.5423400217999887im,-0.2600488175116169 + 0.5367380664584598im,-0.2960914436113917 + 0.5310727064365484im,-0.33404185790333285 + 0.5247936902136559im,-0.3763011779325751 + 0.5183943032938672im,-0.42422206680458796 + 0.5176772759862204im,-0.46472872076956584 + 0.5307717100326155im,-0.4661394141963139 + 0.533085435120795im,-0.4553580107723597 + 0.42987812268008246im,-0.6560032472895603 + 0.1966149792345939im,-1.2929690282738382 + 0.2592011848405448im,-1.7253206039307185 + 1.3512231891263786im,-0.204148147342454 + 2.819870771261121im,3.2713883904853134 + 1.2777199370034438im,3.2516474056776987 - 5.2951098478660485im,-6.3767382206138565 - 9.728760012563491im,-18.458953465094424 + 0.5212614076840348im,-12.367718025263922 + 21.76442826932862im,16.476798547776944 + 25.53000520395986im,34.904056157713995 - 5.97689714774188im,7.3750549166492565 - 38.42641523561224im,-65.30244641063946 - 35.69267312305666im
8.570998549690064 - 6.588451755804616im,51.512178316920775 + 26.777431946180585im,27.588040676070218 - 10.396517843916358im,-0.5801448047120812 - 23.831105883183803im,-18.078947793669883 - 6.1370401382893345im,-10.615881308687932 + 11.904283704202994im,4.082828730337267 + 11.98125172086878im,8.361282984823603 + 2.301944802708077im,3.6090695432946873 - 3.0839986141102242im,-0.735036623701161 - 1.8519858888845475im,-1.1581420904087816 + 0.7137369278680038im,0.020933374913119085 + 1.4539974664805442im,0.6037013229260006 + 0.994731717740799im,0.4875795339644835 + 0.5905018115456862im,0.2648865216454914 + 0.5218772293935947im,0.16919547337479202 + 0.5648601178867096im,0.1425966638188072 + 0.5792921282548535im,0.11813306638652826 + 0.5654259967659926im,0.0852504886198176 + 0.5485153592379817im,0.05126549883192888 + 0.5356904844839897im,0.019393356945133666 + 0.5251367878142075im,-0.010735460119785711 + 0.5153232664108164im,-0.03982864319605767 + 0.5059572357980407im,-0.06823989876752803 + 0.4970306090472706im,-0.09618778642521708 + 0.4884902552756708im,-0.12388026672805602 + 0.4802586874809488im,-0.1515274222288081 + 0.4722652491230699im,-0.17934004303120066 + 0.4644491811600438im,-0.20753242957714413 + 0.4567581052867249im,-0.23632036673235568 + 0.4491426795643365im,-0.2659279882179426 + 0.4415207455674932im,-0.2967066788762147 + 0.4337307725927211im,-0.3294112674435574 + 0.4258116037135995im,-0.3646957328065028 + 0.419061951436817im,-0.39974773451974926 + 0.4156916993233907im,-0.42608720154210006 + 0.40983638858939747im,-0.44948089401001334 + 0.37448513873752176im,-0.5357471632811042 + 0.2967727893354732im,-0.7676340479358861 + 0.3034253613117471im,-0.9568106672311418 + 0.6570091577493556im,-0.4696555254945648 + 1.1898418937565922im,0.8232515189102944 + 0.6488632194689662im,0.8754292874792087 - 1.986616695484007im,-3.173703631074621 - 4.039445816367933im,-8.843425144891942 + 0.3267645066319948im,-6.431359016116039 + 10.555810367840309im,8.003639705613384 + 13.082991632132405im,18.59800955387056 - 3.4216783803593263im,4.503339626434986 - 24.22533887562864im,-26.863616698842606 - 16.71825876653171im,-55.62296643634682 + 7.3773838939291565im
